"Major area, region, country or area *",Period,Age (x),Age interval (n),"Central death rate m(x,n)"
ASIA,2010-2015,45,5,0.00391
ASIA,2010-2015,50,5,0.00600
ASIA,2010-2015,55,5,0.00938
ASIA,2010-2015,60,5,0.01534
ASIA,2010-2015,65,5,0.02569
ASIA,2010-2015,70,5,0.04082
ASIA,2010-2015,75,5,0.06310
ASIA,2010-2015,80,5,0.09611
ASIA,2010-2015,85,15,0.17619
Australia,2010-2015,0,1,0.00397
Australia,2010-2015,1,4,0.00018
Australia,2010-2015,5,5,0.00010
Australia,2010-2015,10,5,0.00010
Australia,2010-2015,15,5,0.00034
Australia,2010-2015,20,5,0.00045
Australia,2010-2015,25,5,0.00051
Australia,2010-2015,30,5,0.00066
Australia,2010-2015,35,5,0.00089
Australia,2010-2015,40,5,0.00122
Australia,2010-2015,45,5,0.00186
Australia,2010-2015,50,5,0.00278
Australia,2010-2015,55,5,0.00416
Australia,2010-2015,60,5,0.00638
Australia,2010-2015,65,5,0.01019
Australia,2010-2015,70,5,0.01741
Australia,2010-2015,75,5,0.02970
Australia,2010-2015,80,5,0.05550
Australia,2010-2015,85,15,0.14994
Australia/New Zealand,2010-2015,0,1,0.00403
Australia/New Zealand,2010-2015,1,4,0.00019
Australia/New Zealand,2010-2015,5,5,0.00009
Australia/New Zealand,2010-2015,10,5,0.00013
Australia/New Zealand,2010-2015,15,5,0.00034
Australia/New Zealand,2010-2015,20,5,0.00047
Australia/New Zealand,2010-2015,25,5,0.00052
Australia/New Zealand,2010-2015,30,5,0.00065
Australia/New Zealand,2010-2015,35,5,0.00087
Australia/New Zealand,2010-2015,40,5,0.00124
Australia/New Zealand,2010-2015,45,5,0.00188
Australia/New Zealand,2010-2015,50,5,0.00284
Australia/New Zealand,2010-2015,55,5,0.00422
Australia/New Zealand,2010-2015,60,5,0.00645
Australia/New Zealand,2010-2015,65,5,0.01007
Australia/New Zealand,2010-2015,70,5,0.01739
Australia/New Zealand,2010-2015,75,5,0.03192
Australia/New Zealand,2010-2015,80,5,0.05772
Australia/New Zealand,2010-2015,85,15,0.14598
Austria,2010-2015,0,1,0.00309
Austria,2010-2015,1,4,0.00017
Austria,2010-2015,5,5,0.00009
Austria,2010-2015,10,5,0.00011
Austria,2010-2015,15,5,0.00026
Austria,2010-2015,20,5,0.00041
Austria,2010-2015,25,5,0.00041
Austria,2010-2015,30,5,0.00048
Austria,2010-2015,35,5,0.00072
Austria,2010-2015,40,5,0.00105
Austria,2010-2015,45,5,0.00198
Austria,2010-2015,50,5,0.00332
Austria,2010-2015,55,5,0.00537
Austria,2010-2015,60,5,0.00873
Austria,2010-2015,65,5,0.01338
Austria,2010-2015,70,5,0.01895
Austria,2010-2015,75,5,0.03228
Austria,2010-2015,80,5,0.06037
Austria,2010-2015,85,15,0.16078
Azerbaijan,2010-2015,0,1,0.04096
Azerbaijan,2010-2015,1,4,0.00196
Azerbaijan,2010-2015,5,5,0.00051
Azerbaijan,2010-2015,10,5,0.00030
Azerbaijan,2010-2015,15,5,0.00048
Azerbaijan,2010-2015,20,5,0.00064
Azerbaijan,2010-2015,25,5,0.00088
Azerbaijan,2010-2015,30,5,0.00127
Azerbaijan,2010-2015,35,5,0.00165
Azerbaijan,2010-2015,40,5,0.00241
Azerbaijan,2010-2015,45,5,0.00371
Azerbaijan,2010-2015,50,5,0.00646
Azerbaijan,2010-2015,55,5,0.01101
Azerbaijan,2010-2015,60,5,0.01711
Azerbaijan,2010-2015,65,5,0.02798
Azerbaijan,2010-2015,70,5,0.04647
Azerbaijan,2010-2015,75,5,0.07316
Azerbaijan,2010-2015,80,5,0.11490
Azerbaijan,2010-2015,85,15,0.20325
Bahamas,2010-2015,0,1,0.00914
Bahamas,2010-2015,1,4,0.00107
Bahamas,2010-2015,5,5,0.00027
Bahamas,2010-2015,10,5,0.00023
Bahamas,2010-2015,15,5,0.00068
Bahamas,2010-2015,20,5,0.00113
Bahamas,2010-2015,25,5,0.00189
Bahamas,2010-2015,30,5,0.00261
Bahamas,2010-2015,35,5,0.00355
Bahamas,2010-2015,40,5,0.00427
Bahamas,2010-2015,45,5,0.00538
Bahamas,2010-2015,50,5,0.00713
Bahamas,2010-2015,55,5,0.00892
Bahamas,2010-2015,60,5,0.01185
Bahamas,2010-2015,65,5,0.01805
Bahamas,2010-2015,70,5,0.02730
Bahamas,2010-2015,75,5,0.03975
Bahamas,2010-2015,80,5,0.06774
Bahamas,2010-2015,85,15,0.15410
Bahrain,2010-2015,0,1,0.00696
Bahrain,2010-2015,1,4,0.00060
Bahrain,2010-2015,5,5,0.00021
Bahrain,2010-2015,10,5,0.00019
Bahrain,2010-2015,15,5,0.00045
Bahrain,2010-2015,20,5,0.00056
Bahrain,2010-2015,25,5,0.00054
Bahrain,2010-2015,30,5,0.00062
Bahrain,2010-2015,35,5,0.00074
Bahrain,2010-2015,40,5,0.00112
Bahrain,2010-2015,45,5,0.00176
Bahrain,2010-2015,50,5,0.00287
Bahrain,2010-2015,55,5,0.00621
Bahrain,2010-2015,60,5,0.01213
Bahrain,2010-2015,65,5,0.02244
Bahrain,2010-2015,70,5,0.03870
Bahrain,2010-2015,75,5,0.06754
Bahrain,2010-2015,80,5,0.11134
Bahrain,2010-2015,85,15,0.20539
Bangladesh,2010-2015,0,1,0.03407
Bangladesh,2010-2015,1,4,0.00205
Bangladesh,2010-2015,5,5,0.00085
Bangladesh,2010-2015,10,5,0.00062
Bangladesh,2010-2015,15,5,0.00083
Bangladesh,2010-2015,20,5,0.00094
Bangladesh,2010-2015,25,5,0.00107
Bangladesh,2010-2015,30,5,0.00124
Bangladesh,2010-2015,35,5,0.00171
Bangladesh,2010-2015,40,5,0.00248
Bangladesh,2010-2015,45,5,0.00380
Bangladesh,2010-2015,50,5,0.00661
Bangladesh,2010-2015,55,5,0.01045
Bangladesh,2010-2015,60,5,0.02158
Bangladesh,2010-2015,65,5,0.02727
Bangladesh,2010-2015,70,5,0.05687
Bangladesh,2010-2015,75,5,0.05790
Bangladesh,2010-2015,80,5,0.09143
Bangladesh,2010-2015,85,15,0.14445
Barbados,2010-2015,0,1,0.00965
Barbados,2010-2015,1,4,0.00036
Barbados,2010-2015,5,5,0.00030
Barbados,2010-2015,10,5,0.00026
Barbados,2010-2015,15,5,0.00049
Barbados,2010-2015,20,5,0.00068
Barbados,2010-2015,25,5,0.00073
Barbados,2010-2015,30,5,0.00085
Barbados,2010-2015,35,5,0.00114
Barbados,2010-2015,40,5,0.00174
Barbados,2010-2015,45,5,0.00294
Barbados,2010-2015,50,5,0.00482
Barbados,2010-2015,55,5,0.00807
Barbados,2010-2015,60,5,0.01312
Barbados,2010-2015,65,5,0.02210
Barbados,2010-2015,70,5,0.03747
Barbados,2010-2015,75,5,0.06327
Barbados,2010-2015,80,5,0.10785
Barbados,2010-2015,85,15,0.20807
Belarus,2010-2015,0,1,0.00400
Belarus,2010-2015,1,4,0.00032
Belarus,2010-2015,5,5,0.00022
Belarus,2010-2015,10,5,0.00022
Belarus,2010-2015,15,5,0.00059
Belarus,2010-2015,20,5,0.00105
Belarus,2010-2015,25,5,0.00166
Belarus,2010-2015,30,5,0.00267
Belarus,2010-2015,35,5,0.00369
Belarus,2010-2015,40,5,0.00520
Belarus,2010-2015,45,5,0.00722
Belarus,2010-2015,50,5,0.01061
Belarus,2010-2015,55,5,0.01545
Belarus,2010-2015,60,5,0.02282
Belarus,2010-2015,65,5,0.02998
Belarus,2010-2015,70,5,0.04206
Belarus,2010-2015,75,5,0.06574
Belarus,2010-2015,80,5,0.10371
Belarus,2010-2015,85,15,0.19911
Belgium,2010-2015,0,1,0.00334
Belgium,2010-2015,1,4,0.00020
Belgium,2010-2015,5,5,0.00009
Belgium,2010-2015,10,5,0.00011
Belgium,2010-2015,15,5,0.00029
Belgium,2010-2015,20,5,0.00046
Belgium,2010-2015,25,5,0.00055
Belgium,2010-2015,30,5,0.00064
Belgium,2010-2015,35,5,0.00088
Belgium,2010-2015,40,5,0.00135
Belgium,2010-2015,45,5,0.00225
Belgium,2010-2015,50,5,0.00386
Belgium,2010-2015,55,5,0.00606
Belgium,2010-2015,60,5,0.00906
Belgium,2010-2015,65,5,0.01288
Belgium,2010-2015,70,5,0.01975
Belgium,2010-2015,75,5,0.03365
Belgium,2010-2015,80,5,0.06219
Belgium,2010-2015,85,15,0.16149
Belize,2010-2015,0,1,0.01452
Belize,2010-2015,1,4,0.00059
Belize,2010-2015,5,5,0.00082
Belize,2010-2015,10,5,0.00070
Belize,2010-2015,15,5,0.00119
Belize,2010-2015,20,5,0.00168
Belize,2010-2015,25,5,0.00181
Belize,2010-2015,30,5,0.00209
Belize,2010-2015,35,5,0.00269
Belize,2010-2015,40,5,0.00375
Belize,2010-2015,45,5,0.00560
Belize,2010-2015,50,5,0.00849
Belize,2010-2015,55,5,0.01305
Belize,2010-2015,60,5,0.02041
Belize,2010-2015,65,5,0.03247
Belize,2010-2015,70,5,0.05264
Belize,2010-2015,75,5,0.08532
Belize,2010-2015,80,5,0.13843
Belize,2010-2015,85,15,0.24393
Benin,2010-2015,0,1,0.07244
Benin,2010-2015,1,4,0.01091
Benin,2010-2015,5,5,0.00279
Benin,2010-2015,10,5,0.00168
Benin,2010-2015,15,5,0.00253
Benin,2010-2015,20,5,0.00357
Benin,2010-2015,25,5,0.00380
Benin,2010-2015,30,5,0.00419
Benin,2010-2015,35,5,0.00480
Benin,2010-2015,40,5,0.00593
Benin,2010-2015,45,5,0.00745
Benin,2010-2015,50,5,0.01050
Benin,2010-2015,55,5,0.01501
Benin,2010-2015,60,5,0.02350
Benin,2010-2015,65,5,0.03711
Benin,2010-2015,70,5,0.06291
Benin,2010-2015,75,5,0.10652
Benin,2010-2015,80,5,0.17752
Benin,2010-2015,85,15,0.30089
Bhutan,2010-2015,0,1,0.03132
Bhutan,2010-2015,1,4,0.00177
Bhutan,2010-2015,5,5,0.00187
Bhutan,2010-2015,10,5,0.00126
Bhutan,2010-2015,15,5,0.00136
Bhutan,2010-2015,20,5,0.00178
Bhutan,2010-2015,25,5,0.00241
Bhutan,2010-2015,30,5,0.00330
Bhutan,2010-2015,35,5,0.00437
Bhutan,2010-2015,40,5,0.00570
Bhutan,2010-2015,45,5,0.00755
Bhutan,2010-2015,50,5,0.00987
Bhutan,2010-2015,55,5,0.01337
Bhutan,2010-2015,60,5,0.01808
Bhutan,2010-2015,65,5,0.02561
Bhutan,2010-2015,70,5,0.03702
Bhutan,2010-2015,75,5,0.05449
Bhutan,2010-2015,80,5,0.08064
Bhutan,2010-2015,85,15,0.14364
Bolivia,2010-2015,0,1,0.04453
Bolivia,2010-2015,1,4,0.00780
Bolivia,2010-2015,5,5,0.00204
Bolivia,2010-2015,10,5,0.00123
Bolivia,2010-2015,15,5,0.00178
Bolivia,2010-2015,20,5,0.00240
Bolivia,2010-2015,25,5,0.00261
Bolivia,2010-2015,30,5,0.00299
Bolivia,2010-2015,35,5,0.00374
Bolivia,2010-2015,40,5,0.00452
Bolivia,2010-2015,45,5,0.00602
Bolivia,2010-2015,50,5,0.00781
Bolivia,2010-2015,55,5,0.01104
Bolivia,2010-2015,60,5,0.01638
Bolivia,2010-2015,65,5,0.02303
Bolivia,2010-2015,70,5,0.03218
Bolivia,2010-2015,75,5,0.04774
Bolivia,2010-2015,80,5,0.07110
Bolivia,2010-2015,85,15,0.14319
Bosnia and Herzegovina,2010-2015,0,1,0.00766
Bosnia and Herzegovina,2010-2015,1,4,0.00035
Bosnia and Herzegovina,2010-2015,5,5,0.00019
Bosnia and Herzegovina,2010-2015,10,5,0.00021
Bosnia and Herzegovina,2010-2015,15,5,0.00034
Bosnia and Herzegovina,2010-2015,20,5,0.00050
Bosnia and Herzegovina,2010-2015,25,5,0.00059
Bosnia and Herzegovina,2010-2015,30,5,0.00075
Bosnia and Herzegovina,2010-2015,35,5,0.00111
Bosnia and Herzegovina,2010-2015,40,5,0.00179
Bosnia and Herzegovina,2010-2015,45,5,0.00302
Bosnia and Herzegovina,2010-2015,50,5,0.00505
Bosnia and Herzegovina,2010-2015,55,5,0.00822
Bosnia and Herzegovina,2010-2015,60,5,0.01320
Bosnia and Herzegovina,2010-2015,65,5,0.02140
Bosnia and Herzegovina,2010-2015,70,5,0.03527
Bosnia and Herzegovina,2010-2015,75,5,0.05782
Bosnia and Herzegovina,2010-2015,80,5,0.09328
Bosnia and Herzegovina,2010-2015,85,15,0.18123
Botswana,2010-2015,0,1,0.03342
Botswana,2010-2015,1,4,0.00197
Botswana,2010-2015,5,5,0.00077
Botswana,2010-2015,10,5,0.00062
Botswana,2010-2015,15,5,0.00114
Botswana,2010-2015,20,5,0.00203
Botswana,2010-2015,25,5,0.00344
Botswana,2010-2015,30,5,0.00563
Botswana,2010-2015,35,5,0.00900
Botswana,2010-2015,40,5,0.01025
Botswana,2010-2015,45,5,0.01182
Botswana,2010-2015,50,5,0.01296
Botswana,2010-2015,55,5,0.01597
Botswana,2010-2015,60,5,0.02150
Botswana,2010-2015,65,5,0.03197
Botswana,2010-2015,70,5,0.05036
Botswana,2010-2015,75,5,0.08103
Botswana,2010-2015,80,5,0.13256
Botswana,2010-2015,85,15,0.23942
Brazil,2010-2015,0,1,0.02070
Brazil,2010-2015,1,4,0.00102
Brazil,2010-2015,5,5,0.00029
Brazil,2010-2015,10,5,0.00028
Brazil,2010-2015,15,5,0.00091
Brazil,2010-2015,20,5,0.00141
Brazil,2010-2015,25,5,0.00157
Brazil,2010-2015,30,5,0.00185
Brazil,2010-2015,35,5,0.00238
Brazil,2010-2015,40,5,0.00328
Brazil,2010-2015,45,5,0.00464
Brazil,2010-2015,50,5,0.00657
Brazil,2010-2015,55,5,0.00955
Brazil,2010-2015,60,5,0.01371
Brazil,2010-2015,65,5,0.02004
Brazil,2010-2015,70,5,0.03025
Brazil,2010-2015,75,5,0.04665
Brazil,2010-2015,80,5,0.07542
Brazil,2010-2015,85,15,0.16330
Brunei Darussalam,2010-2015,0,1,0.00420
Brunei Darussalam,2010-2015,1,4,0.00017
Brunei Darussalam,2010-2015,5,5,0.00022
Brunei Darussalam,2010-2015,10,5,0.00016
Brunei Darussalam,2010-2015,15,5,0.00030
Brunei Darussalam,2010-2015,20,5,0.00042
Brunei Darussalam,2010-2015,25,5,0.00053
Brunei Darussalam,2010-2015,30,5,0.00067
Brunei Darussalam,2010-2015,35,5,0.00092
Brunei Darussalam,2010-2015,40,5,0.00135
Brunei Darussalam,2010-2015,45,5,0.00220
Brunei Darussalam,2010-2015,50,5,0.00345
Brunei Darussalam,2010-2015,55,5,0.00548
Brunei Darussalam,2010-2015,60,5,0.00890
Brunei Darussalam,2010-2015,65,5,0.01596
Brunei Darussalam,2010-2015,70,5,0.02884
Brunei Darussalam,2010-2015,75,5,0.05134
Brunei Darussalam,2010-2015,80,5,0.09283
Brunei Darussalam,2010-2015,85,15,0.19011
Bulgaria,2010-2015,0,1,0.00910
Bulgaria,2010-2015,1,4,0.00045
Bulgaria,2010-2015,5,5,0.00022
Bulgaria,2010-2015,10,5,0.00025
Bulgaria,2010-2015,15,5,0.00049
Bulgaria,2010-2015,20,5,0.00065
Bulgaria,2010-2015,25,5,0.00078
Bulgaria,2010-2015,30,5,0.00104
Bulgaria,2010-2015,35,5,0.00156
Bulgaria,2010-2015,40,5,0.00267
Bulgaria,2010-2015,45,5,0.00450
Bulgaria,2010-2015,50,5,0.00736
Bulgaria,2010-2015,55,5,0.01119
Bulgaria,2010-2015,60,5,0.01634
Bulgaria,2010-2015,65,5,0.02349
Bulgaria,2010-2015,70,5,0.03638
Bulgaria,2010-2015,75,5,0.06109
Bulgaria,2010-2015,80,5,0.10730
Bulgaria,2010-2015,85,15,0.21932
Burkina Faso,2010-2015,0,1,0.07008
Burkina Faso,2010-2015,1,4,0.01155
Burkina Faso,2010-2015,5,5,0.00331
Burkina Faso,2010-2015,10,5,0.00191
Burkina Faso,2010-2015,15,5,0.00290
Burkina Faso,2010-2015,20,5,0.00406
Burkina Faso,2010-2015,25,5,0.00432
Burkina Faso,2010-2015,30,5,0.00472
Burkina Faso,2010-2015,35,5,0.00537
Burkina Faso,2010-2015,40,5,0.00649
Burkina Faso,2010-2015,45,5,0.00801
Burkina Faso,2010-2015,50,5,0.01116
Burkina Faso,2010-2015,55,5,0.01588
Burkina Faso,2010-2015,60,5,0.02521
Burkina Faso,2010-2015,65,5,0.03999
Burkina Faso,2010-2015,70,5,0.06742
Burkina Faso,2010-2015,75,5,0.11303
Burkina Faso,2010-2015,80,5,0.18630
Burkina Faso,2010-2015,85,15,0.31005
Burundi,2010-2015,0,1,0.08254
Burundi,2010-2015,1,4,0.01267
Burundi,2010-2015,5,5,0.00461
Burundi,2010-2015,10,5,0.00285
Burundi,2010-2015,15,5,0.00334
Burundi,2010-2015,20,5,0.00434
Burundi,2010-2015,25,5,0.00519
Burundi,2010-2015,30,5,0.00638
Burundi,2010-2015,35,5,0.00797
Burundi,2010-2015,40,5,0.00881
Burundi,2010-2015,45,5,0.00955
Burundi,2010-2015,50,5,0.01200
Burundi,2010-2015,55,5,0.01563
Burundi,2010-2015,60,5,0.02320
Burundi,2010-2015,65,5,0.03563
Burundi,2010-2015,70,5,0.05633
Burundi,2010-2015,75,5,0.08872
Burundi,2010-2015,80,5,0.14010
Burundi,2010-2015,85,15,0.24062
Cabo Verde,2010-2015,0,1,0.02047
Cabo Verde,2010-2015,1,4,0.00090
Cabo Verde,2010-2015,5,5,0.00041
Cabo Verde,2010-2015,10,5,0.00034
Cabo Verde,2010-2015,15,5,0.00062
Cabo Verde,2010-2015,20,5,0.00086
Cabo Verde,2010-2015,25,5,0.00094
Cabo Verde,2010-2015,30,5,0.00110
Cabo Verde,2010-2015,35,5,0.00146
Cabo Verde,2010-2015,40,5,0.00218
Cabo Verde,2010-2015,45,5,0.00355
Cabo Verde,2010-2015,50,5,0.00563
